time,weight,height,bmi,fatRate,bodyWaterRate,boneMass,metabolism,muscleRate,visceralFat
2018-02-12 07:19:49+0000,75.5,168.0,26.750284,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-12 13:48:57+0000,75.5,168.0,26.750284,24.9,51.5,2.88,1621.0,53.8,11.0
2018-02-12 18:24:11+0000,74.6,168.0,26.4,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-13 00:24:11+0000,74.6,168.0,26.431406,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-13 08:54:51+0000,74.6,168.0,26.431406,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-14 00:45:24+0000,74.6,168.0,26.431406,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-14 01:49:16+0000,74.4,168.0,26.3,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-14 02:43:46+0000,74.4,168.0,26.3,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-14 03:57:28+0000,74.4,168.0,26.3,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-14 05:52:42+0000,74.4,168.0,26.360544,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-14 06:04:06+0000,74.4,168.0,26.360544,24.0,52.1,2.87,1605.0,53.66,11.0
2018-02-14 07:08:17+0000,74.4,168.0,26.3,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-14 07:08:33+0000,74.4,168.0,26.3,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-14 07:49:16+0000,74.4,168.0,26.360544,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-14 08:43:46+0000,74.4,168.0,26.360544,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-14 09:57:28+0000,74.4,168.0,26.360544,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-14 13:08:33+0000,74.4,168.0,26.360544,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-14 16:59:27+0000,74.0,168.0,26.21882,23.8,52.2,2.86,1599.0,53.49,11.0
2018-02-14 17:00:26+0000,74.0,168.0,26.21882,23.8,52.2,2.86,1599.0,53.5,11.0
2018-02-15 05:50:10+0000,74.0,168.0,26.21882,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 07:50:18+0000,73.7,168.0,26.1,23.4,52.5,2.8,1594.0,53.5,11.0
2018-02-15 08:32:23+0000,73.7,168.0,26.1,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 11:13:52+0000,73.7,168.0,26.1,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 12:33:56+0000,74.0,168.0,26.21882,24.0,52.1,2.86,1599.0,53.36,11.0
2018-02-15 13:48:13+0000,74.0,168.0,26.21882,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 13:50:18+0000,73.7,168.0,26.112528,23.4,52.5,2.87,1594.0,53.55,11.0
2018-02-15 14:32:23+0000,73.7,168.0,26.112528,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 17:13:52+0000,73.7,168.0,26.112528,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-16 11:49:58+0000,74.7,168.0,26.4,23.9,52.1,2.8,1609.0,53.9,11.0
2018-02-16 17:49:58+0000,74.7,168.0,26.466835,23.9,52.1,2.89,1609.0,53.91,11.0
2018-02-17 09:58:34+0000,73.9,168.0,26.1,23.7,52.2,2.8,1597.0,53.4,11.0
2018-02-17 15:56:37+0000,73.9,168.0,26.18339,23.8,52.2,2.86,1597.0,53.43,11.0
2018-02-17 15:58:34+0000,73.9,168.0,26.18339,23.7,52.2,2.86,1597.0,53.46,11.0
2018-02-18 07:45:31+0000,73.9,168.0,26.1,23.7,52.2,2.8,1597.0,53.4,11.0
2018-02-18 09:21:43+0000,74.3,168.0,26.3,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-18 13:45:31+0000,73.9,168.0,26.18339,23.7,52.2,2.86,1597.0,53.45,11.0
2018-02-18 15:20:15+0000,74.7,168.0,26.466835,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-18 15:21:43+0000,74.3,168.0,26.325115,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-21 08:02:43+0000,74.3,168.0,26.3,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-21 08:03:17+0000,74.3,168.0,26.3,24.0,52.1,2.8,1603.0,53.5,11.0
2018-02-21 14:02:43+0000,74.3,168.0,26.325115,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-21 14:03:17+0000,74.3,168.0,26.325115,24.0,52.1,2.87,1603.0,53.56,11.0
2018-02-22 09:23:46+0000,73.8,168.0,26.1,23.7,52.3,2.8,1596.0,53.4,11.0
2018-02-22 14:52:03+0000,73.8,168.0,26.14796,23.8,52.2,2.86,1596.0,53.37,11.0
2018-02-22 15:23:46+0000,73.8,168.0,26.14796,23.7,52.3,2.86,1596.0,53.43,11.0
2018-02-22 22:37:22+0000,75.0,168.0,26.57313,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-22 23:39:17+0000,73.7,168.0,26.112528,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-23 15:07:34+0000,72.9,168.0,25.829082,23.4,52.5,2.84,1582.0,52.98,11.0
2018-02-23 22:05:38+0000,73.5,168.0,26.0,23.6,52.4,2.8,1591.0,53.2,11.0
2018-02-24 04:04:36+0000,73.5,168.0,26.041666,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-24 04:05:38+0000,73.5,168.0,26.041666,23.6,52.4,2.85,1591.0,53.28,11.0
2018-02-25 08:56:49+0000,73.5,168.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-25 14:56:49+0000,73.5,168.0,26.041666,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-26 11:01:17+0000,72.9,168.0,25.8,22.9,52.8,2.8,1582.0,53.2,11.0
2018-02-26 14:03:37+0000,74.0,168.0,26.21882,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-26 16:59:38+0000,72.9,168.0,25.829082,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-26 17:01:17+0000,72.9,168.0,25.829082,22.9,52.8,2.85,1582.0,53.28,11.0
2018-02-27 08:07:30+0000,73.3,168.0,25.9,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-27 14:07:49+0000,73.3,168.0,25.970806,23.3,52.5,2.85,1588.0,53.31,11.0
2018-02-28 07:50:54+0000,72.9,168.0,25.8,23.1,52.6,2.8,1582.0,53.1,11.0
2018-02-28 07:51:48+0000,73.2,168.0,25.9,23.3,52.5,2.8,1587.0,53.2,11.0
2018-02-28 13:49:27+0000,73.3,168.0,25.970806,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-28 13:51:05+0000,72.9,168.0,25.829082,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-28 13:52:12+0000,73.2,168.0,25.935373,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-04 11:17:59+0000,73.2,168.0,25.9,23.4,52.5,2.8,1587.0,53.2,11.0
2018-03-04 17:18:18+0000,73.2,168.0,25.935373,21.4,53.8,2.92,1587.0,54.55,11.0
2018-03-06 14:04:25+0000,73.2,168.0,25.935373,23.2,52.6,2.85,1587.0,53.31,11.0
2018-03-06 19:57:11+0000,73.2,168.0,25.9,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-07 01:57:11+0000,73.2,168.0,25.935373,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-07 04:48:48+0000,72.9,168.0,25.8,23.2,52.6,2.8,1582.0,53.1,11.0
2018-03-07 04:49:21+0000,72.9,168.0,25.8,23.2,52.6,2.8,1582.0,53.0,11.0
2018-03-07 10:44:04+0000,73.2,168.0,25.935373,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-07 10:44:43+0000,73.2,168.0,25.935373,30.7,49.4,2.57,1587.0,48.1,11.0
2018-03-07 10:48:48+0000,72.9,168.0,25.829082,23.2,52.6,2.84,1582.0,53.1,11.0
2018-03-07 10:49:21+0000,72.9,168.0,25.829082,23.2,52.6,2.84,1582.0,53.09,11.0
2018-03-08 05:00:07+0000,73.4,168.0,26.006237,23.3,52.6,2.86,1590.0,53.42,11.0
2018-03-08 07:40:06+0000,72.8,168.0,25.7,23.1,52.7,2.8,1581.0,53.1,11.0
2018-03-08 07:40:30+0000,72.8,168.0,25.7,23.1,52.7,2.8,1581.0,53.1,11.0
2018-03-08 13:40:30+0000,72.8,168.0,25.793652,23.1,52.7,2.84,1581.0,53.11,11.0
2018-03-08 14:49:27+0000,73.4,168.0,26.006237,23.3,52.5,2.86,1590.0,53.39,11.0
2018-03-08 14:50:13+0000,73.4,168.0,26.006237,23.3,52.5,2.86,1590.0,53.36,11.0
